committers,pool_set,caller_batch,router_batch,callers,rep,throughput_trx_s,cg_avg,ack_p50_us,ack_p99_us,enqueue_errors,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,owned_claims,steals,load1_end
1,1,8192,200,1,1,4323,197.61,2131755,2648702,0,0.9220,0.0000,0.9620,0.0000,0.0380,IPC,BgworkerShutdown,5,456,0,1.13
1,1,8192,200,1,2,4809,197.21,1951399,2191523,0,0.9420,0.0000,0.9270,0.0080,0.0650,IO,WalSync,17,996,0,1.41
1,1,8192,200,1,3,4836,192.75,2024800,2114977,0,0.9380,0.0000,0.9550,0.0080,0.0370,IO,WalSync,8,1506,0,1.87
1,1,8192,200,1,4,5309,197.95,1789919,1887436,0,0.9070,0.0000,0.9700,0.0040,0.0260,IO,WalSync,5,2044,0,1.45
1,1,8192,200,1,5,4916,192.58,1983905,2038431,0,0.9400,0.0000,0.9370,0.0000,0.0630,IO,WalSync,15,2597,0,1.19
2,1-2,8192,200,2,1,4523,145.85,3789553,5276434,0,0.6600,0.0000,0.9040,0.0480,0.0480,LWLock,ledger_v31_staging_queue,15,5003,0,1.42
2,1-2,8192,200,2,2,5314,143.00,3382706,4408213,0,0.6700,0.0000,0.9300,0.0280,0.0420,IO,WalSync,14,9567,0,1.69
2,1-2,8192,200,2,3,5707,144.56,3126853,3665821,0,0.6640,0.0000,0.9070,0.0480,0.0450,LWLock,ledger_v31_staging_queue,16,13878,0,1.65
2,1-2,8192,200,2,4,5858,139.48,3089104,3684696,0,0.6550,0.0000,0.9320,0.0260,0.0430,IO,WalSync,15,18135,0,1.42
2,1-2,8192,200,2,5,5433,143.36,3539992,4332716,0,0.6670,0.0000,0.9070,0.0470,0.0470,LWLock,ledger_v31_staging_queue,15,22742,0,1.83
4,1-2-6-7,8192,200,4,1,1041,129.00,32765902,33168556,0,0.1410,0.0000,0.9130,0.0630,0.0240,LWLock,ledger_v31_staging_queue,13,55198,0,1.61
4,1-2-6-7,8192,200,4,2,1051,117.24,32698793,32933675,0,0.1400,0.0000,0.9130,0.0490,0.0390,LWLock,ledger_v31_staging_queue,9,111202,0,0.89
4,1-2-6-7,8192,200,4,3,1115,111.63,32044482,32648462,0,0.1550,0.0000,0.9070,0.0660,0.0260,LWLock,ledger_v31_staging_queue,13,166759,0,0.68
4,1-2-6-7,8192,200,4,4,1066,113.45,32329695,32883343,0,0.1450,0.0000,0.9340,0.0420,0.0230,LWLock,ledger_v31_staging_queue,8,222778,0,0.66
4,1-2-6-7,8192,200,4,5,1086,119.68,32245809,32799457,0,0.1540,0.0000,0.9160,0.0530,0.0310,LWLock,ledger_v31_staging_queue,10,278070,0,0.92
