committers,pool_set,rep,throughput_trx_s,cg_avg,ack_p50_us,ack_p99_us,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,owned_claims,steals,load1_end
1,1,1,2645,152.88,76677,204079,0.8530,0.0000,0.9730,0.0090,0.0180,IO,WalSync,2,347,0,4.62
1,1,2,3195,144.82,64552,146669,0.8380,0.0000,0.8990,0.0920,0.0080,LWLock,ledger_v31_staging_queue,10,791,0,2.25
1,1,3,3078,142.52,67960,148766,0.8370,0.0000,0.8640,0.1190,0.0170,LWLock,ledger_v31_staging_queue,14,1224,0,1.23
1,1,4,2961,136.85,71761,162004,0.8690,0.0000,0.8820,0.1010,0.0170,LWLock,ledger_v31_staging_queue,11,1660,0,1.62
1,1,5,3017,136.54,70320,148504,0.8490,0.0000,0.8220,0.1360,0.0420,LWLock,ledger_v31_staging_queue,13,2103,0,1.49
2,1-2,1,3438,87.85,53805,156499,0.6700,0.0000,0.8430,0.1170,0.0410,LWLock,ledger_v31_staging_queue,21,784,0,1.92
2,1-2,2,3848,92.78,52723,122093,0.6890,0.0000,0.8630,0.0960,0.0410,LWLock,ledger_v31_staging_queue,13,1617,0,2.69
2,1-2,3,3767,91.54,51970,134610,0.6610,0.0000,0.8440,0.1220,0.0340,LWLock,ledger_v31_staging_queue,18,2443,0,2.74
2,1-2,4,3755,91.57,51281,127467,0.6610,0.0000,0.8610,0.1150,0.0240,LWLock,ledger_v31_staging_queue,19,3266,0,2.22
2,1-2,5,3858,97.34,50626,125108,0.6450,0.0000,0.8150,0.1410,0.0440,LWLock,ledger_v31_staging_queue,19,4061,0,1.88
4,1-2-6-7,1,4314,59.34,42041,104792,0.5100,0.0000,0.8440,0.1330,0.0230,LWLock,ledger_v31_staging_queue,34,1458,0,3.83
4,1-2-6-7,2,4333,60.80,39976,109772,0.4940,0.0000,0.8240,0.1440,0.0320,LWLock,ledger_v31_staging_queue,31,2889,0,4.57
4,1-2-6-7,3,4384,62.99,40140,104202,0.5190,0.0000,0.8320,0.1370,0.0310,LWLock,ledger_v31_staging_queue,36,4287,0,3.41
4,1-2-6-7,4,4348,62.11,39813,109576,0.5060,0.0000,0.8320,0.1270,0.0400,LWLock,ledger_v31_staging_queue,29,5692,0,3.45
4,1-2-6-7,5,4367,61.98,40730,110952,0.4960,0.0000,0.8090,0.1320,0.0590,LWLock,ledger_v31_staging_queue,30,7104,0,2.37
