scenario,rep,arm,scheme,steal_ms,throughput_trx_s,commit_group_avg,committer_busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,committer_samples,owned_delta,steal_delta,load1_end
s5,1,off,0,5,2812.9,49.76,0.739,0.625,0.242,0.1,364,0,0,3.35
s5,1,on,1,5,2800.2,49.8,0.753,0.692,0.239,0.049,328,287,866,2.14
s5,1,on,1,20,2788.9,49.84,0.762,0.66,0.245,0.079,332,300,848,2.51
s5,1,on,1,50,2637.0,49.79,0.747,0.665,0.235,0.07,364,277,811,2.39
s5,1,on,1,100,2607.4,49.62,0.745,0.678,0.236,0.05,404,286,800,6.27
s5,1,on,1,250,2717.4,49.63,0.744,0.652,0.263,0.069,332,302,818,2.72
s5,2,off,0,5,2748.0,49.82,0.742,0.678,0.208,0.072,356,0,0,2.58
s5,2,on,1,5,2641.4,49.78,0.736,0.683,0.239,0.056,364,270,818,4.41
s5,2,on,1,20,2745.4,49.78,0.774,0.673,0.236,0.059,328,293,836,2.76
s5,2,on,1,50,2724.9,49.8,0.79,0.672,0.239,0.066,328,291,831,2.15
s5,2,on,1,100,2522.7,49.8,0.758,0.685,0.25,0.058,364,271,768,3.95
s5,2,on,1,250,2701.6,49.62,0.75,0.654,0.26,0.065,328,311,806,2.13
s5,3,off,0,5,2729.3,49.85,0.771,0.684,0.245,0.047,328,0,0,3.21
s5,3,on,1,5,2716.5,49.79,0.739,0.68,0.235,0.055,368,272,846,3.12
s5,3,on,1,20,2711.3,49.74,0.775,0.69,0.249,0.033,316,292,827,2.67
s5,3,on,1,50,2711.0,49.72,0.793,0.665,0.246,0.073,328,284,831,2.24
s5,3,on,1,100,2701.7,49.73,0.782,0.672,0.251,0.061,316,298,815,1.84
s5,3,on,1,250,2669.6,49.67,0.78,0.687,0.257,0.053,364,309,797,2.36
s10,1,off,0,5,1371.0,49.68,0.891,0.65,0.274,0.07,1784,0,0,1.77
s10,1,on,1,5,1390.0,49.56,0.913,0.659,0.256,0.075,1744,142,420,1.23
s10,1,on,1,20,1332.3,49.93,0.912,0.672,0.255,0.06,1744,158,377,1.48
s10,1,on,1,50,1323.7,49.93,0.889,0.66,0.269,0.064,1744,194,338,1.91
s10,1,on,1,100,1386.9,49.78,0.904,0.648,0.264,0.082,1744,198,360,1.64
s10,1,on,1,250,1381.0,49.68,0.898,0.66,0.255,0.076,1784,210,347,1.65
s10,2,off,0,5,1372.4,49.81,0.916,0.658,0.258,0.075,1744,0,0,1.60
s10,2,on,1,5,1334.3,49.72,0.907,0.65,0.265,0.073,1744,156,382,2.03
s10,2,on,1,20,1375.5,48.77,0.896,0.639,0.267,0.086,1744,159,407,3.27
s10,2,on,1,50,1374.4,49.7,0.909,0.652,0.252,0.08,1704,175,380,2.16
s10,2,on,1,100,1377.0,49.61,0.893,0.656,0.259,0.073,1744,210,347,1.70
s10,2,on,1,250,1304.5,49.92,0.884,0.658,0.263,0.068,1864,194,331,1.97
s10,3,off,0,5,1377.1,48.75,0.89,0.642,0.263,0.087,1744,0,0,1.61
s10,3,on,1,5,1372.3,49.04,0.909,0.66,0.258,0.072,1784,149,412,1.78
s10,3,on,1,20,1370.0,49.26,0.902,0.658,0.257,0.075,1784,162,396,2.91
s10,3,on,1,50,1373.4,48.58,0.901,0.653,0.261,0.077,1744,216,351,1.50
s10,3,on,1,100,1341.5,49.69,0.902,0.655,0.263,0.074,1744,206,335,1.75
s10,3,on,1,250,1359.1,49.71,0.89,0.65,0.26,0.079,1784,228,321,1.44
