committer_count,rep,callers,pools,pool_split,throughput_trx_s,commit_group_avg,committer_busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,committer_samples,load1_end
1,1,200,2,11381/11307,1090.1,18.41,0.936,0.0,0.324,0.572,297,1.33
1,2,200,2,22130/22006,1050.2,17.86,0.926,0.0,0.305,0.604,297,1.32
1,3,200,2,32825/32716,1042.6,17.91,0.932,0.0,0.329,0.58,307,1.60
1,4,200,2,43641/43556,1052.4,17.61,0.938,0.0,0.332,0.571,308,1.72
1,5,200,2,54442/54425,1059.8,18.24,0.938,0.0,0.33,0.569,307,3.97
2,1,200,2,13858/13774,1350.4,15.35,0.92,0.057,0.211,0.667,552,1.58
2,2,200,2,27281/27207,1327.9,15.65,0.939,0.073,0.239,0.615,556,1.83
2,3,200,2,40675/40644,1325.2,15.61,0.946,0.068,0.203,0.646,556,3.01
2,4,200,2,54193/54275,1346.2,16.22,0.921,0.065,0.227,0.631,554,1.18
2,5,200,2,67194/67295,1287.0,15.72,0.94,0.075,0.205,0.653,554,1.37
