scenario,batch_window_us,callers,depth,throughput_trx_s,commit_group_avg,commits_per_s,pool_lock_per_trx,trx_materialized,errors,ack_p50_us,ack_p95_us,ack_p99_us
s10,0,50,0,1060.4,13.32,79.6,13.49,31844,0,7536,208011,371720
s10,1000,50,0,1004.1,12.52,80.2,13.54,30132,0,8478,225968,380370
s10,2000,50,0,1028.8,12.81,80.3,13.54,30945,0,7135,219152,376176
s10,250,50,0,1050.2,12.84,81.8,13.53,31587,0,7892,211025,370933
s10,500,50,0,1008.5,12.59,80.1,13.53,30311,0,7946,226623,385875
s10,5000,50,0,1030.9,13.01,79.3,13.53,30998,0,7462,218759,371195
s18,0,50,10,1002.2,12.71,78.9,13.49,30154,0,8986,223739,394002
s18,1000,50,10,1006.0,12.51,80.4,13.53,30290,0,7491,232128,394002
s18,2000,50,10,1001.7,12.70,78.9,13.54,30185,0,8224,225181,403439
s18,250,50,10,997.9,12.32,81.0,13.53,29978,0,8056,231342,406061
s18,500,50,10,1008.1,12.57,80.2,13.53,30314,0,7888,224657,398458
s18,5000,50,10,1006.4,12.72,79.1,13.54,30260,0,7962,225181,405012
s5,0,1000,10,2215.2,26.89,82.4,0.04,67858,0,559415,682098,743440
s5,1000,1000,10,2139.3,29.82,71.7,0.03,65573,0,584056,704643,781189
s5,2000,1000,10,2107.0,30.69,68.7,0.03,64533,0,590872,722468,808976
s5,250,1000,10,2120.4,30.12,70.4,0.03,64934,0,589823,709885,770703
s5,500,1000,10,2171.7,30.16,72.0,0.03,66477,0,579862,691011,762839
s5,5000,1000,10,2012.0,39.00,51.6,0.03,61693,0,614465,785383,871890
s7,0,1000,1000,1649.1,3.55,464.4,0.28,50754,0,730857,1119879,1284505
s7,1000,1000,1000,1577.9,3.63,434.4,0.28,48659,0,775946,1206910,1408237
s7,2000,1000,1000,1631.4,3.63,449.9,0.28,50607,0,796393,1097859,1219493
s7,250,1000,1000,1691.7,3.62,467.9,0.28,52584,0,748683,1046478,1186988
s7,500,1000,1000,1655.3,3.60,459.4,0.28,51112,0,785383,1101004,1238368
s7,5000,1000,1000,1634.6,3.62,451.9,0.28,50323,0,760741,1139802,1314914
