scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s5,4,off,50,20000,1,2552,49.79,51.2,0.02,52525,482082,708313,0,0.7950,0.6860,0.2440,0.0350,0.0350,Lock,tuple,138,3.89
s5,4,off,50,20000,2,2627,49.87,52.7,0.02,53961,490733,644874,0,0.7640,0.6800,0.2450,0.0580,0.0180,Lock,tuple,121,4.45
s5,4,off,50,20000,3,2620,49.86,52.5,0.02,53803,497025,662700,0,0.8170,0.6680,0.2500,0.0590,0.0230,Lock,tuple,130,2.87
s5,4,off,50,20000,4,2567,49.83,51.5,0.02,52673,503316,649068,0,0.8190,0.6950,0.2450,0.0440,0.0170,Lock,tuple,134,2.40
s5,4,off,50,20000,5,2568,49.88,51.5,0.02,52769,508559,661127,0,0.8210,0.6760,0.2470,0.0540,0.0230,Lock,tuple,129,2.84
s5,4,off,100,20000,1,2593,99.48,26.1,0.01,53222,492568,649592,0,0.8020,0.7120,0.2530,0.0210,0.0140,Lock,tuple,134,3.76
s5,4,off,100,20000,2,2620,99.57,26.3,0.01,53670,484442,664797,0,0.7680,0.6940,0.2460,0.0430,0.0170,Lock,tuple,134,2.86
s5,4,off,100,20000,3,2673,99.20,26.9,0.01,54756,469762,611319,0,0.7420,0.6870,0.2590,0.0480,0.0070,Lock,tuple,129,2.74
s5,4,off,100,20000,4,2626,99.42,26.4,0.01,54282,475529,681050,0,0.7660,0.7180,0.2520,0.0210,0.0090,Lock,tuple,157,4.08
s5,4,off,100,20000,5,2861,99.47,28.8,0.01,58391,435421,572522,0,0.7250,0.7030,0.2240,0.0430,0.0300,Lock,tuple,105,3.00
s5,4,off,200,20000,1,3234,198.20,16.3,0.01,66200,355205,518782,0,0.7140,0.7050,0.2770,0.0090,0.0090,Lock,tuple,99,5.95
s5,4,off,200,20000,2,3253,197.70,16.5,0.01,66624,355729,515375,0,0.7300,0.6990,0.2650,0.0270,0.0090,Lock,tuple,98,2.43
s5,4,off,200,20000,3,3325,198.16,16.8,0.01,67572,357564,499908,0,0.6910,0.7020,0.2810,0.0170,0.0000,Lock,tuple,105,4.31
s5,4,off,200,20000,4,3311,197.35,16.8,0.01,67494,354156,492568,0,0.7560,0.6990,0.2800,0.0170,0.0040,Lock,tuple,105,2.54
s5,4,off,200,20000,5,3326,197.93,16.8,0.01,68087,351272,478937,0,0.7150,0.7040,0.2920,0.0040,0.0000,Lock,tuple,111,3.14
s5,4,off,400,20000,1,3382,329.25,10.3,0.00,68813,327417,520093,0,0.7730,0.7060,0.2830,0.0040,0.0070,Lock,tuple,123,1.94
s5,4,off,400,20000,2,3414,330.98,10.3,0.00,69836,323485,548405,0,0.7010,0.7060,0.2940,0.0000,0.0000,Lock,tuple,123,4.71
s5,4,off,400,20000,3,3389,328.69,10.3,0.00,69025,327417,551026,0,0.7160,0.7200,0.2690,0.0040,0.0070,Lock,tuple,127,2.50
s5,4,off,400,20000,4,3296,326.35,10.1,0.00,67229,343146,588775,0,0.7740,0.6960,0.2840,0.0190,0.0000,Lock,tuple,113,2.64
s5,4,off,400,20000,5,3411,330.24,10.3,0.00,69351,321126,542638,0,0.7790,0.7090,0.2640,0.0110,0.0150,Lock,tuple,120,2.56
s5,4,off,800,20000,1,3340,493.21,6.8,0.00,68063,318767,633864,0,0.7570,0.7160,0.2780,0.0000,0.0060,Lock,tuple,146,4.81
s5,4,off,800,20000,2,3672,490.51,7.5,0.00,74558,290455,571998,0,0.7030,0.7020,0.2840,0.0090,0.0040,Lock,tuple,97,5.72
s5,4,off,800,20000,3,3811,487.02,7.8,0.00,76949,274726,562036,0,0.6960,0.7320,0.2640,0.0000,0.0050,Lock,tuple,104,1.96
s5,4,off,800,20000,4,3867,483.71,8.0,0.00,77877,269221,516685,0,0.6570,0.7200,0.2750,0.0000,0.0050,Lock,tuple,102,3.21
s5,4,off,800,20000,5,3815,493.53,7.7,0.00,77484,287047,541589,0,0.6600,0.7230,0.2720,0.0000,0.0050,Lock,tuple,96,6.36
