callers,caller_batch,router_batch,committers,rep,throughput_trx_s,cg_avg,ack_p50_us,ack_p99_us,trx_committed,enqueue_errors,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
1,8192,200,4,1,4303,7.84,2193620,3017801,90112,0,0,0.9240,0.0440,0.6210,0.1620,0.1730,IO,WalSync,158,1.83
1,8192,200,4,2,5571,7.84,1652555,1781530,114688,0,0,0.9110,0.0690,0.5640,0.1810,0.1860,IO,WalSync,175,1.76
1,8192,200,4,3,5562,7.83,1665138,1814036,114688,0,0,0.9200,0.0640,0.5130,0.2230,0.1990,LWLock,WALWrite,193,1.79
1,8192,200,4,4,5576,7.82,1667235,1755316,114688,0,0,0.9140,0.0710,0.5230,0.2120,0.1940,LWLock,WALWrite,186,2.37
1,8192,200,4,5,5549,7.81,1675624,1771044,114688,0,0,0.9090,0.0740,0.4980,0.2300,0.1980,LWLock,WALWrite,200,1.97
2,8192,200,4,1,5160,7.77,3544186,3936354,114688,0,0,0.9130,0.0810,0.5210,0.2150,0.1830,LWLock,WALWrite,182,2.12
2,8192,200,4,2,5234,7.83,3535798,3793747,114688,0,0,0.9330,0.0800,0.5270,0.2080,0.1850,IO,WalSync,184,2.48
2,8192,200,4,3,5214,7.79,3563061,4158652,114688,0,0,0.9330,0.0670,0.5270,0.2180,0.1880,LWLock,WALWrite,191,2.20
2,8192,200,4,4,5319,7.74,3470786,3800039,114688,0,0,0.9140,0.0600,0.5480,0.2060,0.1860,IO,WalSync,179,1.79
2,8192,200,4,5,5199,7.96,3613392,3894411,114688,0,0,0.9390,0.0820,0.5180,0.2220,0.1770,LWLock,WALWrite,184,2.03
4,8192,200,4,1,982,8.11,33504100,33839644,33232,0,0,0.5120,0.0270,0.7060,0.2050,0.0630,LWLock,ledger_v31_spillover_arena,77,1.16
4,8192,200,4,2,989,7.86,33738981,34057748,33758,0,0,0.4940,0.0290,0.7140,0.1900,0.0680,LWLock,WALWrite,65,1.86
4,8192,200,4,3,987,7.82,33688649,34007416,33587,0,0,0.5360,0.0280,0.6960,0.2140,0.0630,LWLock,ledger_v31_spillover_arena,82,1.71
4,8192,200,4,4,986,7.99,33571209,33940307,33503,0,0,0.5550,0.0350,0.7310,0.1790,0.0550,LWLock,ledger_v31_spillover_arena,67,1.93
4,8192,200,4,5,1022,7.76,33269219,33940307,34746,0,0,0.5170,0.0250,0.7250,0.1760,0.0740,LWLock,ledger_v31_spillover_arena,60,2.82
