scenario,rep,callers,depth,throughput_trx_s,commit_group_avg,span_pool_lock,span_hydrate,span_apply,span_commit,span_prep,committer_busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,committer_samples,load1_end
s5,1,1000,10,2726.0,49.77,0.603,0.007,0.285,0.029,0.076,0.775,0.674,0.247,0.057,360,1.75
s5,2,1000,10,2818.5,49.92,0.57,0.007,0.299,0.03,0.094,0.734,0.663,0.237,0.063,368,2.52
s5,3,1000,10,2843.2,49.86,0.566,0.007,0.298,0.031,0.099,0.738,0.669,0.239,0.068,340,1.88
s5,4,1000,10,2809.6,49.91,0.564,0.007,0.301,0.031,0.097,0.726,0.672,0.232,0.062,332,4.15
s5,5,1000,10,2814.1,49.83,0.564,0.007,0.299,0.032,0.099,0.738,0.694,0.216,0.049,332,2.27
s6,1,1000,10,1410.7,1.07,0.02,0.071,0.116,0.602,0.191,0.872,0.0,0.321,0.438,716,2.69
s6,2,1000,10,1407.0,1.07,0.013,0.071,0.114,0.606,0.196,0.877,0.0,0.307,0.449,716,3.79
s6,3,1000,10,1422.5,1.07,0.013,0.071,0.116,0.605,0.196,0.891,0.0,0.29,0.465,700,2.34
s6,4,1000,10,1408.8,1.07,0.013,0.071,0.115,0.606,0.195,0.877,0.0,0.291,0.463,716,2.40
s6,5,1000,10,1411.3,1.07,0.013,0.071,0.115,0.603,0.199,0.917,0.0,0.281,0.473,676,2.04
s7,1,1000,1000,2048.3,3.45,0.083,0.061,0.255,0.392,0.209,0.799,0.129,0.385,0.281,348,2.75
s7,2,1000,1000,2146.9,3.6,0.081,0.056,0.259,0.394,0.21,0.761,0.086,0.332,0.368,368,1.69
s7,3,1000,1000,2073.4,3.58,0.087,0.055,0.264,0.387,0.207,0.768,0.11,0.414,0.274,380,5.44
s7,4,1000,1000,2095.2,3.59,0.088,0.054,0.266,0.383,0.21,0.775,0.068,0.416,0.305,360,1.88
s7,5,1000,1000,2122.2,3.6,0.082,0.057,0.281,0.372,0.208,0.758,0.087,0.438,0.275,364,3.83
s8,1,1000,1000,1310.5,49.54,0.723,0.019,0.215,0.011,0.031,0.852,0.725,0.257,0.006,908,2.30
s8,2,1000,1000,1394.8,49.76,0.707,0.019,0.217,0.016,0.041,0.834,0.713,0.272,0.01,832,1.55
s8,3,1000,1000,1370.8,49.67,0.707,0.019,0.216,0.015,0.043,0.861,0.722,0.253,0.01,836,2.36
s8,4,1000,1000,1407.7,49.62,0.712,0.019,0.213,0.018,0.038,0.843,0.725,0.256,0.006,784,1.56
s8,5,1000,1000,1379.4,49.88,0.705,0.019,0.219,0.014,0.043,0.862,0.72,0.266,0.004,812,1.50
s9,1,1000,1000,1353.4,49.65,0.709,0.018,0.223,0.011,0.039,0.834,0.714,0.264,0.01,808,1.57
s9,2,1000,1000,1417.8,49.75,0.693,0.019,0.229,0.013,0.046,0.836,0.707,0.265,0.013,800,1.59
s9,3,1000,1000,1387.7,49.71,0.691,0.019,0.229,0.011,0.05,0.848,0.716,0.258,0.009,796,1.78
s9,4,1000,1000,1443.7,49.93,0.696,0.019,0.227,0.011,0.046,0.837,0.72,0.265,0.009,816,2.96
s9,5,1000,1000,1435.1,49.72,0.701,0.018,0.221,0.013,0.047,0.871,0.719,0.259,0.013,728,1.64
s10,1,50,0,1355.8,49.86,0.781,0.023,0.173,0.012,0.011,0.918,0.655,0.245,0.08,1708,2.31
s10,2,50,0,1402.3,49.6,0.772,0.021,0.184,0.01,0.013,0.883,0.644,0.262,0.085,1664,2.08
s10,3,50,0,1406.9,49.34,0.775,0.021,0.182,0.01,0.012,0.89,0.644,0.261,0.084,1708,1.78
s10,4,50,0,1401.2,49.93,0.776,0.021,0.181,0.01,0.012,0.9,0.645,0.266,0.082,1704,1.70
s10,5,50,0,1401.1,49.12,0.775,0.021,0.183,0.01,0.011,0.902,0.648,0.266,0.075,1704,1.41
s11,1,200,100,1191.2,49.55,0.682,0.036,0.195,0.014,0.074,0.897,0.513,0.261,0.219,1824,2.92
s11,2,200,100,1241.4,49.2,0.671,0.034,0.201,0.012,0.082,0.915,0.498,0.258,0.237,1744,1.67
s11,3,200,100,1224.6,48.85,0.672,0.035,0.201,0.011,0.08,0.9,0.496,0.257,0.237,1784,2.12
s11,4,200,100,1234.8,48.75,0.673,0.034,0.199,0.011,0.083,0.913,0.504,0.255,0.234,1744,4.27
s11,5,200,100,1237.4,48.83,0.663,0.034,0.204,0.011,0.087,0.9,0.494,0.265,0.234,1704,2.16
s14,1,50,10,1408.1,49.81,0.769,0.023,0.184,0.011,0.012,0.896,0.647,0.258,0.084,1668,1.74
s14,2,50,10,1415.7,48.93,0.766,0.023,0.187,0.011,0.013,0.894,0.636,0.264,0.093,1704,3.18
s14,3,50,10,1418.2,49.54,0.764,0.023,0.189,0.011,0.014,0.89,0.632,0.264,0.092,1628,1.54
s14,4,50,10,1393.4,49.32,0.766,0.023,0.189,0.01,0.013,0.881,0.65,0.265,0.076,1708,2.61
s14,5,50,10,1421.0,48.49,0.762,0.023,0.19,0.011,0.014,0.891,0.641,0.266,0.084,1628,1.40
s15,1,200,100,1209.6,49.55,0.672,0.034,0.202,0.014,0.078,0.91,0.507,0.251,0.23,1784,3.37
s15,2,200,100,1262.6,48.91,0.667,0.033,0.208,0.012,0.081,0.904,0.503,0.252,0.236,1704,1.65
s15,3,200,100,1257.1,48.92,0.659,0.034,0.205,0.011,0.091,0.913,0.487,0.256,0.249,1740,1.98
s15,4,200,100,1264.5,48.8,0.662,0.033,0.206,0.012,0.088,0.896,0.496,0.255,0.242,1744,1.87
s15,5,200,100,1263.9,48.6,0.653,0.033,0.207,0.012,0.096,0.903,0.474,0.253,0.262,1744,1.42
s16,1,50,10,1431.2,49.8,0.762,0.02,0.195,0.01,0.013,0.904,0.634,0.262,0.092,1628,1.92
s16,2,50,10,1429.8,49.63,0.756,0.02,0.197,0.013,0.013,0.896,0.641,0.257,0.09,1628,1.83
s16,3,50,10,1441.3,49.51,0.758,0.02,0.197,0.01,0.014,0.898,0.639,0.256,0.092,1628,1.59
s16,4,50,10,1409.6,49.84,0.757,0.02,0.199,0.01,0.013,0.902,0.641,0.264,0.091,1628,2.65
s16,5,50,10,1441.4,49.93,0.75,0.021,0.202,0.011,0.017,0.878,0.629,0.266,0.095,1588,1.41
s17,1,50,10,1392.2,47.89,0.773,0.025,0.182,0.01,0.011,0.9,0.642,0.267,0.079,1704,2.01
s17,2,50,10,1405.2,46.98,0.767,0.025,0.183,0.014,0.011,0.896,0.64,0.263,0.085,1664,1.75
s17,3,50,10,1408.0,46.49,0.768,0.025,0.184,0.011,0.013,0.891,0.642,0.262,0.087,1708,2.39
s17,4,50,10,1408.4,46.17,0.766,0.025,0.186,0.011,0.011,0.885,0.639,0.271,0.082,1664,6.44
s17,5,50,10,1398.6,47.16,0.762,0.026,0.188,0.011,0.013,0.878,0.637,0.263,0.091,1668,2.05
s18,1,50,10,1387.2,49.76,0.777,0.024,0.177,0.011,0.011,0.896,0.655,0.265,0.073,1704,1.50
s18,2,50,10,1367.3,49.3,0.773,0.024,0.181,0.01,0.012,0.889,0.659,0.267,0.066,1744,1.91
s18,3,50,10,1397.0,49.63,0.773,0.024,0.178,0.014,0.012,0.89,0.653,0.261,0.071,1704,1.63
s18,4,50,10,1397.6,49.64,0.775,0.025,0.18,0.009,0.011,0.888,0.654,0.263,0.073,1744,1.56
s18,5,50,10,1376.3,49.44,0.777,0.024,0.179,0.01,0.011,0.896,0.656,0.255,0.077,1744,1.76
s19,1,200,100,1193.0,48.71,0.681,0.036,0.193,0.01,0.079,0.919,0.518,0.259,0.216,1824,1.39
s19,2,200,100,1169.7,49.79,0.665,0.037,0.2,0.014,0.085,0.91,0.501,0.262,0.224,1784,1.98
s19,3,200,100,1222.3,48.76,0.68,0.035,0.194,0.014,0.076,0.902,0.521,0.243,0.219,1784,1.93
