scenario,mode,seed,rep,throughput_trx_s,errors,duration_s
s5,routed,1000,0,9295.834,0,36.0
s5,routed,1001,1,9101.395,0,35.9
s5,direct-per-call,1003,3,406.018,0,32.5
s5,routed,1003,3,8962.246,0,36.5
s5,routed,1004,4,8759.421,0,36.4
s5,direct-per-call,1000,0,404.288,0,32.4
s5,direct-per-call,1004,4,405.250,0,32.5
s5,routed,1002,2,8642.157,0,36.3
s5,direct-per-call,1002,2,341.139,0,33.5
s5,direct-per-call,1001,1,156.860,0,36.0
s7,routed,1004,4,4511.989,0,43.1
s7,routed,1003,3,8146.579,0,38.0
s7,direct-per-call,1002,2,1157.902,0,31.0
s7,routed,1002,2,8587.075,0,36.2
s7,routed,1001,1,8418.628,0,37.1
s7,direct-per-call,1000,0,1176.518,0,30.9
s7,direct-per-call,1004,4,1192.508,0,30.8
s7,direct-per-call,1001,1,1173.902,0,31.0
s7,routed,1000,0,8195.320,0,37.9
s7,direct-per-call,1003,3,1166.716,0,30.9
s8,direct-per-call,1004,4,247.223,0,34.7
s8,direct-per-call,1000,0,263.130,0,33.8
s8,direct-per-call,1003,3,248.117,0,33.9
s8,routed,1003,3,983.817,740,59.1
