scenario,mode,seed,rep,throughput_trx_s,errors,duration_s
s5,routed,1000,0,9295.834,0,36.0
s5,routed,1001,1,9101.395,0,35.9
s5,direct-per-call,1003,3,406.018,0,32.5
s5,routed,1003,3,8962.246,0,36.5
s5,routed,1004,4,8759.421,0,36.4
s5,direct-per-call,1000,0,404.288,0,32.4
s5,direct-per-call,1004,4,405.250,0,32.5
s5,routed,1002,2,8642.157,0,36.3
s5,direct-per-call,1002,2,341.139,0,33.5
s5,direct-per-call,1001,1,156.860,0,36.0
s7,routed,1004,4,4511.989,0,43.1
s7,routed,1003,3,8146.579,0,38.0
s7,direct-per-call,1002,2,1157.902,0,31.0
s7,routed,1002,2,8587.075,0,36.2
s7,routed,1001,1,8418.628,0,37.1
s7,direct-per-call,1000,0,1176.518,0,30.9
s7,direct-per-call,1004,4,1192.508,0,30.8
s7,direct-per-call,1001,1,1173.902,0,31.0
s7,routed,1000,0,8195.320,0,37.9
s7,direct-per-call,1003,3,1166.716,0,30.9
s2,direct-per-call,1004,4,731.446,0,30.3
s2,routed,1003,3,9270.968,0,31.4
s2,routed,1000,0,9143.749,0,31.2
s2,direct-per-call,1002,2,738.954,0,30.3
s2,routed,1004,4,9134.616,0,31.4
s2,routed,1002,2,9405.154,0,31.1
s2,direct-per-call,1000,0,734.793,0,30.3
s2,direct-per-call,1003,3,725.418,0,30.3
s2,routed,1001,1,8873.189,0,31.3
s2,direct-per-call,1001,1,723.789,0,30.3
s4,direct-per-call,1003,3,273.690,0,30.7
s4,routed,1004,4,1046.051,0,41.5
s4,routed,1003,3,1304.651,0,43.5
s4,routed,1002,2,1351.053,0,42.3
s4,routed,1001,1,1314.186,0,43.6
s4,direct-per-call,1004,4,265.249,0,30.7
s4,direct-per-call,1001,1,267.112,0,30.8
s4,direct-per-call,1000,0,271.852,0,30.8
s4,direct-per-call,1002,2,264.043,0,30.7
s4,routed,1000,0,986.573,64,51.0
