scenario,mode,seed,rep,throughput_trx_s,errors,duration_s
s2,direct-per-call,1004,4,731.446,0,30.3
s2,routed,1003,3,9270.968,0,31.4
s2,routed,1000,0,9143.749,0,31.2
s2,direct-per-call,1002,2,738.954,0,30.3
s2,routed,1004,4,9134.616,0,31.4
s2,routed,1002,2,9405.154,0,31.1
s2,direct-per-call,1000,0,734.793,0,30.3
s2,direct-per-call,1003,3,725.418,0,30.3
s2,routed,1001,1,8873.189,0,31.3
s2,direct-per-call,1001,1,723.789,0,30.3
s4,direct-per-call,1003,3,273.690,0,30.7
s4,routed,1004,4,1046.051,0,41.5
s4,routed,1003,3,1304.651,0,43.5
s4,routed,1002,2,1351.053,0,42.3
s4,routed,1001,1,1314.186,0,43.6
s4,direct-per-call,1004,4,265.249,0,30.7
s4,direct-per-call,1001,1,267.112,0,30.8
s4,direct-per-call,1000,0,271.852,0,30.8
s4,direct-per-call,1002,2,264.043,0,30.7
s4,routed,1000,0,986.573,64,51.0
