t_epoch,t_s,load1,age_xid,wal_bytes,arena_outstanding,arena_allocs,arena_frees,arena_bump,arena_freelist,trx_committed,pool_state_rows,pool_lock_rows,ckpt_timed,ckpt_req,ckpt_buffers,bgw_clean,bgw_alloc
1783682529,0,0.93,55032158,1157724183328,81,192179,192098,4645264,50701,63750,488,488,85,49,473762,0,823253
1783682534,5,0.94,55034886,1157727212056,63,199959,199896,4645264,50719,66282,489,489,85,49,473762,0,823465
1783682539,10,1.02,55037647,1157730256856,57,207838,207781,4645264,50725,68843,489,489,85,49,473762,0,823596
1783682544,15,1.16,55040426,1157733337088,36,215771,215735,4645264,50746,71427,490,490,85,49,473762,0,823845
1783682549,20,1.15,55043203,1157736463520,122,223659,223537,4645264,50660,73961,490,490,85,49,473762,0,824075
1783682554,25,1.06,55046078,1157739668760,18,231874,231856,4645264,50764,76666,491,491,85,49,473762,0,824220
1783682559,30,0.97,55048827,1157742626592,119,239723,239604,4645264,50663,79182,493,493,85,49,473762,0,824349
1783682564,35,0.97,55051537,1157745612448,66,247443,247377,4645264,50716,81705,494,494,85,49,473762,0,824479
1783682570,41,0.89,55054250,1157748616040,107,255184,255077,4645264,50675,84205,495,495,85,49,473762,0,824632
1783682575,46,0.98,55056940,1157751541080,125,262850,262725,4645264,50657,86687,495,495,85,49,473762,0,824765
1783682580,51,0.90,55059710,1157754590168,149,270735,270586,4645264,50633,89270,495,495,85,49,473762,0,824892
1783682585,56,0.83,55062425,1157757537136,125,278485,278360,4645264,50657,91764,496,496,85,49,473762,0,825028
1783682590,61,0.85,55065154,1157760517368,146,286265,286119,4645264,50636,94283,497,497,85,49,473762,0,825161
1783682595,66,0.86,55067837,1157763460840,107,293910,293803,4645264,50675,96777,497,497,85,49,473762,0,825286
1783682600,71,0.79,55070594,1157766471800,92,301777,301685,4645264,50690,99337,497,497,85,49,473762,0,825427
1783682605,76,0.73,55073226,1157769344768,104,309269,309165,4645264,50678,101763,497,497,85,49,473762,0,825557
1783682610,81,0.75,55075971,1157772337000,113,317085,316972,4645264,50669,104298,497,497,85,49,473762,0,825699
1783682615,86,0.69,55078638,1157775255784,71,324682,324611,4645264,50711,106777,497,497,85,49,473762,0,825823
1783682620,91,0.71,55081333,1157778171040,161,332367,332206,4645264,50621,109263,497,497,85,49,473762,0,825952
1783682625,96,0.66,55084116,1157781240264,45,340306,340261,4645264,50737,111859,497,497,85,49,473762,0,826088
1783682630,101,0.84,55086882,1157784245032,92,348202,348110,4645264,50690,114408,498,498,85,49,473762,0,826212
1783682635,106,0.94,55089698,1157787326104,86,356246,356160,4645264,50696,117024,498,498,85,49,473762,0,826356
1783682641,112,1.82,55092497,1157790397072,57,364222,364165,4645264,50725,119625,498,498,85,49,473762,0,826501
1783682646,117,1.84,55095290,1157793457312,51,372197,372146,4645264,50731,122218,498,498,85,49,473762,0,826633
1783682651,122,1.85,55098005,1157796424800,51,379938,379887,4645264,50731,124731,499,499,85,49,473762,0,826766
1783682656,127,1.70,55100728,1157799399984,65,387709,387644,4645264,50717,127266,499,499,85,49,473762,0,826898
1783682661,132,1.65,55103422,1157802328368,92,395387,395295,4645264,50690,129733,499,499,85,49,473762,0,827026
1783682666,137,1.59,55106209,1157805371304,74,403344,403270,4645264,50708,132324,499,499,85,49,473762,0,827163
1783682671,142,1.55,55109051,1157808490480,71,411451,411380,4645264,50711,134960,499,499,85,49,473762,0,827307
1783682676,147,1.42,55111749,1157811430824,54,419139,419085,4645264,50728,137461,499,499,85,49,473762,0,827440
1783682681,152,2.35,55114502,1157814448808,48,426994,426946,4645264,50734,140014,499,499,85,49,473762,0,827572
1783682686,157,2.16,55117295,1157817480080,140,434965,434825,4645264,50642,142598,499,499,85,49,473762,0,827700
1783682691,162,2.07,55120080,1157820536936,69,442916,442847,4645264,50713,145179,499,499,85,49,473762,0,827836
1783682696,167,2.38,55122747,1157823440440,66,450513,450447,4645264,50716,147645,499,499,85,49,473762,0,827962
1783682701,172,2.19,55125510,1157826477960,95,458385,458290,4645264,50687,150192,499,499,85,49,473762,0,828115
1783682706,177,2.02,55128242,1157829450104,120,466175,466055,4645264,50662,152713,499,499,85,49,473762,0,828249
1783682712,183,1.85,55131013,1157832496824,48,474084,474036,4645264,50734,155306,499,499,85,49,473762,0,828384
1783682717,188,1.70,55133660,1157835383072,33,481621,481588,4645264,50749,157756,499,499,85,49,473762,0,828507
1783682722,193,1.73,55136389,1157838318736,131,489410,489279,4645264,50651,160253,499,499,85,49,473762,0,828637
1783682727,198,1.59,55139188,1157841370280,134,497403,497269,4645264,50648,162849,500,500,85,49,473762,0,828766
1783682732,203,1.54,55141854,1157844310744,33,504976,504943,4645264,50749,165339,500,500,85,49,473762,0,828895
1783682737,208,1.50,55144583,1157847254328,149,512765,512616,4645264,50633,167830,500,500,85,49,473762,0,829035
1783682742,213,1.38,55147316,1157850252944,125,520560,520435,4645264,50657,170369,500,500,85,49,473762,0,829165
1783682747,218,2.07,55150035,1157853256640,54,528307,528253,4645264,50728,172907,500,500,85,49,473762,0,829299
1783682752,223,1.98,55152812,1157856280744,149,536234,536085,4645264,50633,175487,500,500,85,49,473762,0,829436
1783682757,228,1.82,55155583,1157859338912,27,544143,544116,4645264,50755,178060,500,500,85,49,473762,0,829569
1783682762,233,1.76,55158289,1157862241560,125,551848,551723,4645264,50657,180529,500,500,85,49,473762,0,829696
1783682767,238,1.62,55161056,1157865295616,15,559739,559724,4645264,50767,183128,500,500,85,49,473762,0,829830
1783682772,243,1.49,55163842,1157868324336,95,567699,567604,4645264,50687,185688,500,500,85,49,473762,0,829974
1783682777,248,2.65,55166545,1157871273584,77,575404,575327,4645264,50705,188195,500,500,85,49,473762,0,830103
1783682782,253,2.68,55169344,1157874330528,72,583395,583323,4645264,50710,190793,500,500,85,49,473762,0,830233
1783682788,259,2.46,55172036,1157877276904,51,591067,591016,4645264,50731,193290,500,500,85,49,473762,0,830371
1783682793,264,2.27,55174765,1157880242992,48,598835,598787,4645264,50734,195813,500,500,85,49,473762,0,830501
1783682798,269,2.08,55177407,1157883130096,21,606357,606336,4645264,50761,198262,500,500,85,49,473762,0,830626
1783682803,274,2.00,55180086,1157886056128,101,613990,613889,4645264,50681,200740,500,500,85,49,473762,0,830760
1783682808,279,1.84,55182871,1157889068312,107,621947,621840,4645264,50675,203296,500,500,85,49,473762,0,830894
1783682813,284,1.85,55185647,1157892104792,80,629871,629791,4645264,50702,205879,500,500,85,49,473762,0,831028
1783682818,289,1.70,55188435,1157895154280,53,637816,637763,4645264,50729,208469,500,500,85,49,473762,0,831165
1783682823,294,1.64,55191154,1157898090016,170,645567,645397,4645264,50612,210972,500,500,85,49,473762,0,831295
1783682828,299,1.51,55193940,1157901184624,33,653521,653488,4645264,50749,213576,500,500,85,49,473762,0,831433
1783682833,304,1.39,55196736,1157904212040,98,661511,661413,4645264,50684,216151,500,500,85,49,473762,0,831570
1783682838,309,1.28,55199489,1157907215336,104,669366,669262,4645264,50678,218700,500,500,85,49,473762,0,831705
1783682843,314,1.18,55202196,1157910192088,66,677081,677015,4645264,50716,221217,500,500,85,49,473762,0,831838
1783682848,319,1.40,55204959,1157913179424,110,684953,684843,4645264,50672,223759,500,500,85,49,473762,0,831970
1783682853,324,1.29,55207621,1157916090112,74,692535,692461,4645264,50708,226231,500,500,85,49,473762,0,832099
1783682858,329,1.27,55210415,1157919126600,92,700507,700415,4645264,50690,228837,500,500,85,49,473762,0,832227
1783682863,334,1.25,55213094,1157922071728,18,708140,708122,4645264,50764,231316,500,500,85,49,473762,0,832356
1783682869,340,1.15,55215913,1157925139240,69,716197,716128,4645264,50713,233918,500,500,85,49,473762,0,832501
1783682874,345,1.29,55218670,1157928165912,48,724064,724016,4645264,50734,236480,500,500,85,49,473762,0,832635
1783682879,350,1.19,55221457,1157931218984,42,732006,731964,4645264,50740,239062,500,500,85,49,473762,0,832767
1783682884,355,1.09,55224257,1157934258848,54,740002,739948,4645264,50728,241656,500,500,85,49,473762,0,832900
1783682889,360,1.01,55227023,1157937247336,161,747896,747735,4645264,50621,244221,500,500,85,49,473762,0,833039
1783682894,365,0.93,55229718,1157940217904,86,755583,755497,4645264,50696,246705,500,500,85,49,473762,0,833165
1783682899,370,0.85,55232535,1157943311368,50,763630,763580,4645264,50732,249332,500,500,85,49,473762,0,833301
1783682904,375,0.78,55235263,1157946293576,62,771410,771348,4645264,50720,251854,500,500,85,49,473762,0,833442
1783682909,380,0.80,55238050,1157949344160,66,779350,779284,4645264,50716,254432,500,500,85,49,473762,0,833578
1783682914,385,0.90,55240829,1157952362624,140,787289,787149,4645264,50642,256987,500,500,85,49,473762,0,833713
1783682919,390,0.82,55243486,1157955275792,104,794856,794752,4645264,50678,259454,500,500,85,49,473762,0,833843
1783682924,395,0.84,55246137,1157958162224,98,802405,802307,4645264,50684,261905,500,500,85,49,473762,0,833973
1783682929,400,0.78,55248868,1157961151800,80,810194,810114,4645264,50702,264440,500,500,85,49,473762,0,834110
1783682934,405,0.80,55251565,1157964074392,98,817881,817783,4645264,50684,266929,500,500,85,49,473762,0,834230
1783682939,410,1.62,55254297,1157967055312,89,825658,825569,4645264,50693,269457,500,500,85,49,473762,0,834372
1783682945,416,1.49,55257062,1157970074936,60,833543,833483,4645264,50722,272027,500,500,85,49,473762,0,834504
1783682950,421,1.37,55259770,1157973037032,45,841263,841218,4645264,50737,274538,500,500,85,49,473762,0,834641
1783682955,426,1.26,55262490,1157976012040,80,849021,848941,4645264,50702,277045,500,500,85,49,473762,0,834768
1783682960,431,1.16,55265207,1157978976496,72,856766,856694,4645264,50710,279562,500,500,85,49,473762,0,834898
1783682965,436,1.14,55267913,1157981892488,155,864486,864331,4645264,50627,282066,500,500,85,49,473762,0,835032
1783682970,441,1.05,55270620,1157984891624,24,872182,872158,4645264,50758,284582,500,500,85,49,473762,0,835163
1783682975,446,1.05,55273405,1157987946904,36,880133,880097,4645264,50746,287161,500,500,85,49,473762,0,835304
1783682980,451,0.96,55276222,1157990996576,92,888186,888094,4645264,50690,289760,500,500,85,49,473762,0,835434
1783682985,456,0.89,55278971,1157993999696,92,896029,895937,4645264,50690,292307,500,500,85,49,473762,0,835569
1783682990,461,0.98,55281714,1157996989232,98,903854,903756,4645264,50684,294846,500,500,85,49,473762,0,835702
1783682995,466,0.90,55284430,1157999947472,128,911598,911470,4645264,50654,297350,500,500,85,49,473762,0,835835
1783683000,471,0.83,55287144,1158002932232,54,919315,919261,4645264,50728,299879,500,500,85,49,473762,0,835967
1783683005,476,0.84,55289868,1158005907136,39,927083,927044,4645264,50743,302406,500,500,85,49,473762,0,836101
1783683010,481,0.85,55292627,1158008871840,125,934956,934831,4645264,50657,304962,500,500,85,49,473762,0,836227
1783683016,487,0.78,55295406,1158011898056,113,942895,942782,4645264,50669,307518,500,500,85,49,473762,0,836366
1783683021,492,0.88,55298192,1158014941680,113,950849,950736,4645264,50669,310102,500,500,85,49,473762,0,836508
1783683026,497,0.81,55301000,1158018031200,36,958863,958827,4645264,50746,312731,500,500,85,49,473762,0,836638
1783683031,502,0.83,55303696,1158020926728,110,966538,966428,4645264,50672,315198,500,500,85,49,473762,0,836765
1783683036,507,0.84,55306495,1158023991016,95,974531,974436,4645264,50687,317800,500,500,85,49,473762,0,836900
1783683041,512,0.85,55309285,1158027045456,74,982497,982423,4645264,50708,320395,500,500,85,49,473762,0,837039
1783683046,517,0.87,55312031,1158030038640,89,990331,990242,4645264,50693,322934,500,500,85,49,473762,0,837173
1783683051,522,0.80,55314770,1158033060416,51,998142,998091,4645264,50731,325483,500,500,85,49,473762,0,837306
1783683056,527,0.73,55317473,1158036008384,60,1005847,1005787,4645264,50722,327981,500,500,85,49,473762,0,837434
1783683061,532,0.67,55320193,1158038948256,98,1013594,1013496,4645264,50684,330484,500,500,85,49,473762,0,837564
1783683066,537,0.70,55322883,1158041878944,86,1021260,1021174,4645264,50696,332976,500,500,85,49,473762,0,837695
1783683071,542,0.64,55325608,1158044868576,66,1029025,1028959,4645264,50716,335503,500,500,85,49,473762,0,837833
1783683076,547,0.59,55328352,1158047885016,15,1036853,1036838,4645264,50767,338062,500,500,85,49,473762,0,837968
1783683081,552,0.62,55331036,1158050778960,104,1044507,1044403,4645264,50678,340517,500,500,85,49,473762,0,838097
1783683086,557,0.57,55333832,1158053831688,92,1052491,1052399,4645264,50690,343115,500,500,85,49,473762,0,838230
1783683092,563,0.53,55336624,1158056868944,119,1060448,1060329,4645264,50663,345691,500,500,85,49,473762,0,838357
1783683097,568,0.49,55339308,1158059792784,107,1068094,1067987,4645264,50675,348195,500,500,85,49,473762,0,838490
1783683102,573,0.61,55342162,1158062915464,116,1076254,1076138,4645264,50666,350826,500,500,85,49,473762,0,838625
1783683107,578,0.56,55344922,1158065941920,86,1084130,1084044,4645264,50696,353394,500,500,85,49,473762,0,838766
1783683112,583,0.59,55347716,1158068986984,98,1092108,1092010,4645264,50684,355982,500,500,85,49,473762,0,838902
1783683117,588,0.63,55350388,1158071908944,77,1099720,1099643,4645264,50705,358459,500,500,85,49,473762,0,839033
1783683122,593,0.58,55353119,1158074895936,89,1107494,1107405,4645264,50693,360979,500,500,85,49,473762,0,839168
1783683127,598,0.53,55355895,1158077937848,96,1115416,1115320,4645264,50686,363550,500,500,85,49,473762,0,839308
1783683132,603,0.57,55358675,1158080999160,51,1123352,1123301,4645264,50731,366143,500,500,85,49,473762,0,839444
