scenario,committers,callers,window_us,batch_size_max,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,max_group,group_hist,arena_outstanding,arena_bump,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s10,1,def,0,100000,1,287,339.43,2.7,6.14,21384,2306867,5767167,0,1000,15;13;5;13;21;40;70;78,46438,35504576,1.0000,0.0000,0.8400,0.1200,0.0400,LWLock,ledger_v31_staging_queue,3,1.25
s10,1,def,0,100000,2,45,86.22,8.0,10.49,16296,3852468,7033847,0,1000,22;28;20;41;56;115;152;93,39327,38534208,1.0000,0.0000,0.8700,0.1110,0.0190,LWLock,ledger_v31_staging_queue,6,1.50
s10,1,def,2000,100000,1,1100,347.81,3.2,6.03,25042,1169162,5083496,0,1000,24;30;24;42;63;131;199;161,33151,40564360,0.9870,0.0000,0.9340,0.0390,0.0260,LWLock,ledger_v31_staging_queue,2,1.69
s10,1,def,2000,100000,2,1123,501.88,2.2,5.53,25094,1241513,5553258,0,1000,24;32;24;47;68;140;228;224,30972,41859496,0.9870,0.0000,0.9470,0.0530,0.0000,LWLock,ledger_v31_staging_queue,4,1.44
s10,1,def,10000,100000,1,831,172.04,7.5,8.33,28386,2510290,5897191,0,1000,24;32;24;49;73;160;282;266,11124,43195136,1.0000,0.0000,0.9650,0.0210,0.0140,LWLock,ledger_v31_staging_queue,3,1.69
s10,1,def,10000,100000,2,1139,552.98,2.1,5.52,25437,1110441,5037359,0,1000,24;33;24;50;73;165;307;330,35647,44256416,0.9850,0.0000,0.8480,0.0910,0.0610,LWLock,ledger_v31_staging_queue,6,2.22
s10,1,def,50000,100000,1,1016,708.61,1.4,5.18,23384,1840250,4857004,0,1000,24;33;24;51;73;166;312;403,41568,45391984,0.9790,0.0000,0.8480,0.1300,0.0220,LWLock,ledger_v31_staging_queue,5,4.96
s10,1,def,50000,100000,2,1174,553.83,2.1,5.74,26584,1470103,4999610,0,1000,24;33;24;51;75;168;315;486,29912,46260584,0.9890,0.0000,0.9190,0.0470,0.0350,LWLock,ledger_v31_staging_queue,3,2.30
s10,4,def,0,100000,1,1004,756.72,1.3,4.67,21945,1688207,3930062,0,1000,9;6;1;0;0;0;0;47,43661,34441472,0.8940,0.6440,0.2800,0.0680,0.0080,Lock,transactionid,64,3.22
s10,4,def,0,100000,2,1007,951.17,1.1,4.61,21877,1702887,3951034,0,1000,9;6;1;0;0;0;0;84,42673,37669520,0.5950,0.5220,0.4060,0.0720,0.0000,Lock,transactionid,23,1.93
s10,4,def,2000,100000,1,971,960.87,1.0,4.57,22100,1627389,3986685,0,1000,9;6;1;0;0;0;0;126,40210,39444024,0.6150,0.5160,0.4070,0.0770,0.0000,Lock,transactionid,26,3.31
s10,4,def,2000,100000,2,1017,943.71,1.1,4.60,22649,1710227,3810525,0,1000,9;6;1;0;0;0;0;166,40215,40809352,0.7570,0.5890,0.3390,0.0710,0.0000,Lock,tuple,41,2.00
s10,4,def,10000,100000,1,992,935.62,1.1,4.59,22455,1816133,3944742,0,1000,9;6;1;0;0;1;0;199,44539,42143792,0.5610,0.5060,0.4340,0.0600,0.0000,Lock,transactionid,27,3.14
s10,4,def,10000,100000,2,999,1000.00,1.0,4.50,22000,1847590,4062183,0,1000,9;6;1;0;0;2;0;242,43518,43333272,0.9220,0.6640,0.2800,0.0560,0.0000,Lock,tuple,43,2.51
s10,4,def,50000,100000,1,1013,998.86,1.0,4.51,21975,1450180,3959422,0,1000,9;6;1;0;0;3;0;281,45095,44084216,0.5090,0.4730,0.4910,0.0360,0.0000,Lock,transactionid,14,1.64
s10,4,def,50000,100000,2,938,1000.00,0.9,4.51,21000,1714421,4659871,0,1000,9;6;1;0;1;3;0;314,40362,44703608,0.5410,0.4620,0.4500,0.0880,0.0000,Lock,transactionid,25,1.84
