scenario,callers,offered_rate,rep,achieved_tput,ack_p50_us,ack_p99_us,committed_p50_us,committed_p99_us,cg_avg,locks_per_trx,trx,dropped,errors,load1_end
s2,64,1000,1,1000,159,401,62128,105119,49.90,0.29,20060,0,0,1.09
s2,64,1000,2,1000,159,385,62849,105644,49.66,0.29,20062,0,0,0.78
s2,64,2000,1,2000,176,481,64552,106364,98.18,0.22,40059,0,0,0.99
s2,64,2000,2,2000,177,541,65863,110297,98.18,0.22,40058,0,0,0.78
s2,64,4000,1,3997,524,2516,91291,16995319,121.97,0.16,80012,0,0,2.03
s2,64,4000,2,4000,254,882,80150,15384707,129.74,0.16,80052,0,0,1.31
s2,64,6000,1,5998,738,3416,111607,15174991,132.77,0.13,120022,0,0,2.58
s2,64,6000,2,5997,541,2643,103481,18018729,134.69,0.13,120013,0,0,1.82
s2,64,8000,1,7981,836,6152,137756,20484980,141.49,0.12,159738,0,0,3.11
s2,64,8000,2,7990,1015,5525,135266,18656264,144.29,0.12,159876,0,0,3.86
s2,64,10000,1,9869,1370,8404,193069,16735272,132.44,0.10,197465,0,0,2.72
s2,64,10000,2,9877,1303,8306,184156,16156459,131.78,0.11,197664,0,0,4.82
s2,64,12000,1,10577,5627,9519,233832,15837691,138.97,0.09,211649,0,0,4.78
s2,64,12000,2,10487,5644,10043,226361,16013852,140.73,0.09,209835,0,0,6.35
s2,64,14000,1,10621,5828,9682,232914,18454937,140.65,0.09,212515,0,0,5.70
s2,64,14000,2,10545,5877,9633,231997,18622709,139.64,0.09,210996,0,0,7.58
